cid005353980	ensp00000356438	inhibitor	inhibitor
cid000004781	ensp00000356438	inhibitor	inhibitor
cid000004051	ensp00000356438	inhibitor	inhibitor
cid000002581	ensp00000356438	inhibitor	inhibitor
cid000003059	ensp00000356438	inhibitor	inhibitor
cid000005359	ensp00000356438	inhibitor	inhibitor
cid000000338	ensp00000356438	inhibitor	inhibitor
cid000004036	ensp00000356438	inhibitor	inhibitor
cid000002244	ensp00000356438	inhibitor	inhibitor
cid000060726	ensp00000356438	inhibitor	inhibitor
cid000004614	ensp00000356438	inhibitor	inhibitor
cid000003825	ensp00000356438	inhibitor	inhibitor
cid005362070	ensp00000356438	inhibitor	inhibitor
cid000003672	ensp00000356438	inhibitor	inhibitor
cid000151166	ensp00000356438	inhibitor	inhibitor
cid000005161	ensp00000356438	inhibitor	inhibitor
cid000005468	ensp00000356438	inhibitor	inhibitor
cid000123619	ensp00000356438	inhibitor	inhibitor
cid000004488	ensp00000356438	inhibitor	inhibitor
cid054690031	ensp00000356438	inhibitor	inhibitor
cid000134780	ensp00000356438	inhibitor	inhibitor
cid000004771	ensp00000369237	inhibitor	inhibitor
cid000005523	ensp00000369237	inhibitor	inhibitor
cid000065856	ensp00000369237	inhibitor	inhibitor
cid000005656	ensp00000369237	inhibitor	inhibitor
cid000002160	ensp00000369237	inhibitor	inhibitor
cid000004976	ensp00000369237	inhibitor	inhibitor
cid000003696	ensp00000369237	inhibitor	inhibitor
cid000060834	ensp00000369237	inhibitor	inhibitor
cid000004543	ensp00000369237	inhibitor	inhibitor
cid000004020	ensp00000369237	inhibitor	inhibitor
cid000005584	ensp00000369237	inhibitor	inhibitor
cid000004762	ensp00000369237	inhibitor	inhibitor
cid000005032	ensp00000369237	inhibitor	inhibitor
cid000002826	ensp00000369237	inhibitor	inhibitor
cid000004011	ensp00000369237	inhibitor	inhibitor
cid000007029	ensp00000369237	inhibitor	inhibitor
cid000005210	ensp00000369237	inhibitor	inhibitor
cid000003158	ensp00000369237	inhibitor	inhibitor
cid000004449	ensp00000369237	inhibitor	inhibitor
cid000002995	ensp00000369237	inhibitor	inhibitor
cid000000444	ensp00000369237	inhibitor	inhibitor
cid000004601	ensp00000369237	inhibitor	inhibitor
cid000055480	ensp00000369237	inhibitor	inhibitor
cid006433091	ensp00000369237	inhibitor	inhibitor
cid000125017	ensp00000369237	inhibitor	inhibitor
cid000004158	ensp00000369237	inhibitor	inhibitor
cid000003404	ensp00000261707	inhibitor	inhibitor
cid000004771	ensp00000261707	inhibitor	inhibitor
cid000005523	ensp00000261707	inhibitor	inhibitor
cid000002771	ensp00000261707	inhibitor	inhibitor
cid000005656	ensp00000261707	inhibitor	inhibitor
cid000002160	ensp00000261707	inhibitor	inhibitor
cid000004976	ensp00000261707	inhibitor	inhibitor
